universe_id,provider,source_id,member_code,member_name,valid_from,valid_to,as_of_date,weight,rank,member_type
index:CSI300,tushare,000300.SH,600515.SH,,20260506,,20260506,0.0753,260,equity
index:CSI300,tushare,000300.SH,600519.SH,,20260506,,20260506,3.2332,3,equity
index:CSI300,tushare,000300.SH,600522.SH,,20260506,,20260506,0.3578,73,equity
index:CSI300,tushare,000300.SH,600547.SH,,20260506,,20260506,0.242,113,equity
index:CSI300,tushare,000300.SH,600570.SH,,20260506,,20260506,0.1559,176,equity
index:CSI300,tushare,000300.SH,600584.SH,,20260506,,20260506,0.2591,108,equity
index:CSI300,tushare,000300.SH,600585.SH,,20260506,,20260506,0.1905,145,equity
index:CSI300,tushare,000300.SH,600588.SH,,20260506,,20260506,0.0916,243,equity
index:CSI300,tushare,000300.SH,600600.SH,,20260506,,20260506,0.0837,250,equity
index:CSI300,tushare,000300.SH,600660.SH,,20260506,,20260506,0.3569,75,equity
index:CSI300,tushare,000300.SH,600674.SH,,20260506,,20260506,0.1119,221,equity
index:CSI300,tushare,000300.SH,600690.SH,,20260506,,20260506,0.3041,94,equity
index:CSI300,tushare,000300.SH,600741.SH,,20260506,,20260506,0.1095,227,equity
index:CSI300,tushare,000300.SH,600760.SH,,20260506,,20260506,0.154,178,equity
index:CSI300,tushare,000300.SH,600795.SH,,20260506,,20260506,0.1611,169,equity
index:CSI300,tushare,000300.SH,600803.SH,,20260506,,20260506,0.071,268,equity
index:CSI300,tushare,000300.SH,600809.SH,,20260506,,20260506,0.2583,109,equity
index:CSI300,tushare,000300.SH,600845.SH,,20260506,,20260506,0.0774,258,equity
index:CSI300,tushare,000300.SH,600875.SH,,20260506,,20260506,0.1862,150,equity
index:CSI300,tushare,000300.SH,600886.SH,,20260506,,20260506,0.1232,207,equity
index:CSI300,tushare,000300.SH,600887.SH,,20260506,,20260506,0.6521,35,equity
index:CSI300,tushare,000300.SH,600893.SH,,20260506,,20260506,0.2344,120,equity
index:CSI300,tushare,000300.SH,600900.SH,,20260506,,20260506,1.2497,11,equity
index:CSI300,tushare,000300.SH,600905.SH,,20260506,,20260506,0.2206,128,equity
index:CSI300,tushare,000300.SH,600918.SH,,20260506,,20260506,0.0721,265,equity
